test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,26,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.02,69.61051361688324,139.51289450821554,86.74144371705863,108.45582955929062,0.0,677300,0.0883,1,No matching event found,90.5471,0.028721517079549556,buyer_S1_26,seller_S1_26,0.7995117779416414,0.0
S1,27,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",96.11,100.1569822895058,150.97829438267107,155.60172028152493,124.8123303065966,0.0,681047,0.1106,1,No matching event found,111.2671,0.1577631230668024,buyer_S1_27,seller_S1_27,0.7186113906332683,-0.8798635060731268
S1,28,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.99,76.26447447990401,104.93803185225087,88.07531172566566,41.12543031229765,0.0,681626,0.1052,1,No matching event found,87.334,0.05062739158566896,buyer_S1_28,seller_S1_28,0.8860534420738315,0.0
S1,29,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.26,66.368129488083,98.62469723896538,103.63649163307309,46.05917427425281,0.0,681610,0.1103,1,No matching event found,90.2167,0.00045606834771369986,buyer_S1_29,seller_S1_29,0.7606600089600475,0.0
S1,30,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.98,75.1199659013238,116.99967650797205,104.2332565085304,75.44981283214345,0.0,681063,0.1059,1,No matching event found,90.7094,0.01943812175818769,buyer_S1_30,seller_S1_30,0.8722431189914057,0.0
S1,31,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",86.3,76.02525924066929,113.94358348141476,80.5750607328693,105.17776022389754,0.0,677300,0.0967,1,No matching event found,88.4331,0.024752143836838308,buyer_S1_31,seller_S1_31,0.8272254512238637,0.0
S1,32,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",89.4,102.17129189079391,122.21016706737512,141.94922174133103,54.773384790659364,0.0,677847,0.0867,1,No matching event found,103.9352,0.1625498908153227,buyer_S1_32,seller_S1_32,0.5880243074355544,0.0
S1,33,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",97.5,70.92330622462006,145.22028752538208,79.20174654033457,54.46053624836077,0.0,681079,0.1017,1,No matching event found,88.3681,0.09366789919389314,buyer_S1_33,seller_S1_33,0.7347981502069589,-0.7409785820089045
S1,34,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",94.1,101.95049626001615,138.21170316111528,154.05920614070388,86.0714183210261,0.0,681610,0.1011,1,No matching event found,108.8869,0.15719304968725129,buyer_S1_34,seller_S1_34,0.6912899302801085,0.0
S1,35,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",97.49,99.79226749645088,157.95074296790582,157.5754349410549,76.36148754879065,0.0,681610,0.1033,1,No matching event found,118.6716,0.21725013961888506,buyer_S1_35,seller_S1_35,0.8246187653735074,0.0
S1,36,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",99.69,65.37889938214707,117.31387362688174,85.3362406157467,64.35779391739867,0.0,681079,0.0971,1,No matching event found,92.8654,0.06842422308658787,buyer_S1_36,seller_S1_36,0.9707516270571831,-0.7177995103752062
